subcriterion_id,parent_requirement_ids,canonical_source,scope,packages,acceptance_note,status
SC-01,M-018;M-019,Master §7,"Folder upload, drag-and-drop, multi-file i import z zachowaniem checksum/provenance",R10;R20,Odrębnie sprawdzić każde wejście; status szerokiego M-018 nie oznacza ich wszystkich.,NOT_ACCEPTED
SC-02,M-021;M-017,Master §6–7,Ręczne przypięcie/odpięcie/przeniesienie dokumentu i zachowanie decyzji człowieka,R12;R20,Test autoryzacji i konfliktów; nie automatyczny relink.,NOT_ACCEPTED
SC-03,M-022;M-010,Master §8,"Aparat, foreground GPS, czas, orientacja/device info, mapa, komentarz i relacje inspection/client/project",R16;R20,"Emulator sprawdza kontrakt, nie fizyczną dokładność pomiaru.",NOT_ACCEPTED
SC-04,M-027;M-028;M-060,"Master §11–12, §29–30","Cytowanie/otwarcie strony, OCR assetu, porównanie stron i before/after zdjęć",R10;R14;R15;R16,Źródło wskazuje konkretny obraz/stronę; zakres/niepewność jawne.,NOT_ACCEPTED
SC-05,M-028;M-060,"Master §12, §46",Image embeddings i wyszukiwanie obrazów,R21,Decyzja scope osobna; opisowe Visual retrieval nie oznacza wykonania embeddings obrazu.,NOT_ACCEPTED
SC-06,M-043;M-045,Master §22–23,"Podsumowanie klienta, korespondencji, raport, notatka, e-mail draft, porównanie dokumentów i kolejne kroki",R15;R20,Każdy przyjęty scenariusz ma test oraz provenance; nie tylko chat Q&A.,NOT_ACCEPTED
SC-07,M-013;M-051;M-052,Master §24,"Oferta: reguły firmy, dane/cena/zakres, wersje, review, approved/sent/rejected/superseded",R18,Approval treści nie oznacza automatycznego send; dane nie są zgadywane.,NOT_ACCEPTED
SC-08,M-014;M-053,Master §25,"Umowa z konkretnej approved oferty, szablon, wersje, diff i oznaczenie AI",R19,Zmiana oferty nie zmienia starej umowy po cichu.,NOT_ACCEPTED
SC-09,M-054;M-055,Master §26–27,"Parametry gruntu/CPT/sondowania, nośność, osiadanie, obciążenia, fundamenty, posadzki, elementy konstrukcyjne",R17,"Lista metod z danymi, źródłami i testami per rodzina; decyzja dla otwartego „inne”.",NOT_ACCEPTED
SC-10,M-055,Master §27,"Trwały calculation record: input, jednostki, wzór/źródło, założenia, kroki, wynik, data, engine version, autor, verification",R17,Rachunek przez engine; końcowy status ekspercki zatwierdza człowiek.,NOT_ACCEPTED
SC-11,M-056,Master §28,"Kontrolowany Internet: normy/przepisy/producent/aprobaty/wytyczne/publikacje, URL/data/typ/licencja",R13,Sam upload korpusu nie domyka online freshness; brak uprawnień jest jawny.,NOT_ACCEPTED
SC-12,M-061;M-063,Master §31–33,"Tool permissions, draft notatki/zadania/oferty/umowy/mail; istotne zapisy/finanse/ekspertyza tylko z approval",R09;R17;R18;R19;R20;R21,Read-only legacy Agent nie jest automatycznym dowodem docelowego workflow; nowe write tool authority osobno.,NOT_ACCEPTED
SC-13,M-064;M-065,"Master §3, §34–35","Windows/Android, Web zachowany; iOS opcjonalny; update/minimum/force/schema compatibility",R04;R16;R21,"Nie wymuszać równości app/API/schema, tylko zgodność; iOS nie narzucony blocker.",NOT_ACCEPTED
SC-14,M-005;M-017,"Master §4, §6",Finansowe dokumenty w zakresie potrzeb firmy oraz relacje oferty/umowy/projektu,R18;R19;R20,Najpierw istniejące archiwum i potrzeba operacyjna; nie samowolny moduł ERP.,NOT_ACCEPTED
SC-15,M-066;M-067;F-026;F-027;F-028,Master §36; Followup CHUNK23–25,"Backup, pełny restore, protected escrow, retencja/alerty oraz n8n",R03;R22;R23,Przed ryzykowną operacją weryfikacja odtworzenia; nowy schema wymaga aktualnego drill.,NOT_ACCEPTED
SC-16,M-071;M-073,Master §42–45,Cały workflow operacyjny i kryterium przekazania rzeczywistej pracy systemowi,R23;R24,Testy modułowe i nazwa COMPLETE nie zastępują odbioru właściciela.,NOT_ACCEPTED
