requirement_id,source_document,section_lines,classification,requirement,owner_clarification,user_scenario,measurable_acceptance,entrypoints,implementation,runtime,evidence,business_acceptance,evidence_refs,gap_risk_dependency,minimal_direction,primary_package,supporting_packages,finding_ids,roadmap_status,reconciliation_note,package_exit
M-001,AI_LAB_MASTER_PLAN.txt,91-118,cel,"Jeden zintegrowany system CRM, dokumentów i AI","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Użytkownik wykonuje pełny przepływ bez równoległych silosów,"backend/app, frontend/lib, compose.yaml",PARTIAL,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak ofert i umów oraz niespójne generacje AI.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R23,R16;R20;R18;R19,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Kamień K2: odebrany zakres operacyjny. „Pełny Masterplan” wolno napisać tylko przy spełnieniu wszystkich wymaganych pozycji albo z jawnym opisem zatwierdzonej zmiany specyfikacji.
M-002,AI_LAB_MASTER_PLAN.txt,119-165,ograniczenie,Local-first z kontrolowaną eskalacją,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Dane pozostają lokalne, eksport tylko po klasyfikacji i minimalizacji","unified_assistant_service.py, advanced_analysis_orchestrator.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Temporary Chat nie miał bieżącego bezpiecznego smoke.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R15,R05;R09;R13,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Obie ścieżki Temporary Chat mają dzisiejszy evidence i wersję workerów; poprawność, użyteczność i bezpieczeństwo odebrane razem."
M-003,AI_LAB_MASTER_PLAN.txt,166-214,wymaganie,Dockerowa infrastruktura usług,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"PostgreSQL, Qdrant, Ollama, backend, n8n i Web działają i są odseparowane","compose.yaml, operations",PRESENT,ACTIVE,E2E,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Dodatkowy nieprzypisany PostgreSQL 10 wymaga decyzji właściciela.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R04,R22;R24,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,RELEASE_ID + compatibility manifest gotowe. Stan source-ready/staged/deployed/accepted jest rozdzielony. Samo przygotowanie nie oznacza promocji rescue.
M-004,AI_LAB_MASTER_PLAN.txt,166-214,wymaganie,Publiczna/prywatna granica sterowania,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Publiczny gateway nie udostępnia /control, prywatny może","operations/gateway, operations/supervisor",PRESENT,ACTIVE,E2E,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Gatewaye są uruchamiane z brudnego repo, choć kod zgodny z main.",Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R04,R22,FND-014,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,RELEASE_ID + compatibility manifest gotowe. Stan source-ready/staged/deployed/accepted jest rozdzielony. Samo przygotowanie nie oznacza promocji rescue.
M-005,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Relacyjny model CRM i AI,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Encje mają FK, statusy i migracje Alembic","backend/app/models, backend/alembic",PARTIAL,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak modeli ofert i umów; Visual V2 tylko w rescue bez migracji.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,R06;R17;R18;R19,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-006,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Użytkownicy i role,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Administrator/User mają autoryzowane endpointy i cykl życia,"models/user.py, api/auth.py, api/users.py",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak bieżącego pełnego audytu wszystkich kombinacji RBAC.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-007,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Klient jako centralny rekord,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Klient agreguje kontakty, adresy, dokumenty, projekty i historię","models/client.py, api/clients, frontend/features/clients",PRESENT,ACTIVE,E2E,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Dane historyczne nadal mają jakościowe wyjątki.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-008,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Kontakty i osoby kontaktowe,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Wiele kontaktów, osoba preferowana i decyzyjna są trwałe","models/contact_person.py, client_service.py",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Decyzje kontaktowe followup nadal wymagają domknięcia produktu.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,R01,,PLANNED_NOT_ACCEPTED,"C-005: followup CHUNK26 dokumentuje wybraną i wdrożoną opcję ContactPerson B z 22.08.2026. Zweryfikować implementację/runtime, nie żądać ponownej decyzji A/B ani nowej migracji bez nowego wymagania.","Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-009,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Adresy i lokalizacje,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Adresy klienta i realizacji są rozdzielone i walidowane,"models/address.py, client_service.py",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Historyczne rekordy country-only były naprawiane projekcyjnie.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-010,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Realizacje i wizje lokalne,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Projekt i inspection są przypisane do klienta, lokalizacji i dokumentów","models/project.py, models/inspection.py, api/projects.py, api/inspections.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Mała liczba danych produkcyjnych; brak pełnego scenariusza terenowego.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,R16,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
