evidence_id,utc,status,scope,local_path,sha256,size_bytes,notes
R05-A2-E001,2026-09-11T21:51:59Z,REPRODUCED,worker fail-before,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\fail-before-worker-toctou.log,0C33EC33EC0B620581C02ED2F5778E8EFF4D9E3DF864186A9659200F63AA3BC9,393,"TOCTOU after hash validation; exit 1"
R05-A2-E002,2026-09-11T22:11:51Z,FAILED_ENVIRONMENT,first pytest collection,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\backend-chain-20260911T221151Z.log,4679429FC68D604188690E1A576F298AF756A6C3BC0B30A5D9EEB3875F8F27E8,2861,"Missing synthetic required settings; no test collected"
R05-A2-E003,2026-09-11T22:12:31Z,PASS,focused backend chain,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\backend-chain-retry-20260911T221231Z.log,068B07224E523E4253E192A1DCB74613FD499FE5D778B0C14E5AA44DDEE6EC64,1706,"1 passed; first reusable request fixture"
R05-A2-E004,2026-09-11T22:12:59Z,PASS,first Node chain,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\node-chain-20260911T221259Z.log,FD7336CE36B6DAFDBCB8AB99ADAD8B79337C41EB99F80F52B2953837181B83C1,628,"Two backend cases reached fake upload; original harness consumed incoming"
R05-A2-E005,2026-09-11T22:15:20Z,WRAPPER_ERROR,Node log aggregation,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\node-regression-final-20260911T221520Z.log,AE9BD6089A111DDC05C0BDC976E4DF048C286DD4523A809C012BA8B3A24BCEE6,58,"PowerShell Tee-Object parameter error; not final evidence"
R05-A2-E006,2026-09-11T22:16:28Z,PASS,intermediate Node regression,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\node-regression-captured-20260911T221628Z.log,8F04709AA080A81076966ABDEA8041E2A070AEB3F6A18237A30C30DD92C2C7EF,830,"Four commands exit 0 before final contract additions"
R05-A2-E007,2026-09-11T22:20:13Z,PASS,final backend regression,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\backend-regression-final-20260911T222013Z.log,C22A96553E5060741A152A3213507B0C55323C6A6138B48C354684611AD3D090,1867,"76 passed; network none; final synthetic chain generated"
R05-A2-E008,2026-09-11T22:20:45Z,PASS,final Node regression,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\node-regression-final-20260911T222045Z.log,0F3232681C2AD5110303409691A7B7D9EC52632ADCDFC6A6D80EAF828A7AFEB3,830,"Four commands exit 0; two real backend requests; fake upload only"
R05-A2-E009,2026-09-11T22:20:13Z,LOCAL_ONLY,redacted approval oracle,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\final-chain-source-20260911T222013Z\chain\locally-redacted\approval.json,FBA5C5EE4ADC2147D361A38E0705EC5F83DC8839235560F51716EB25E170A59C,332,"Synthetic hashes only"
R05-A2-E010,2026-09-11T22:20:13Z,LOCAL_ONLY,redacted backend request,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\final-chain-source-20260911T222013Z\chain\locally-redacted\request.json,BC8269622CDC2A4519281322B0E08C9E976959E03B98C012492F3E8D08AF3B48,355,"Unmodified output of real A1 service path"
R05-A2-E011,2026-09-11T22:20:13Z,LOCAL_ONLY,redacted final raster,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\final-chain-source-20260911T222013Z\chain\locally-redacted\spool\incoming\4d61fea920a69f557cf8a565015ed403593928a4561f69ae552ee787982b3410\S1.jpg,7A89CB69AE2D29BDB1F8F2311177CB128B877B75F00C6B2A94B33661631B431C,4688,"Synthetic final bytes; EXIF empty"
R05-A2-E012,2026-09-11T22:20:13Z,LOCAL_ONLY,public-safe approval oracle,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\final-chain-source-20260911T222013Z\chain\public-safe\approval.json,8121300BAA0828F5CB0C0F73D1171A47C3FAE7DB29124F385620C2631B4CE80F,260,"Synthetic hashes only"
R05-A2-E013,2026-09-11T22:20:13Z,LOCAL_ONLY,public-safe backend request,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\final-chain-source-20260911T222013Z\chain\public-safe\request.json,FFB751D7A8C9EF0F222BA486980AD147F38DD7DA483B515F7BB4A2C90679408C,355,"Unmodified output of real A1 service path"
R05-A2-E014,2026-09-11T22:20:13Z,LOCAL_ONLY,public-safe final raster,C:\ai-lab-core-staging\recovery\R05_A2_UPLOAD_BOUNDARY_20260911T215159Z\final-chain-source-20260911T222013Z\chain\public-safe\spool\incoming\1e96a5d972b3fa170ca23c8e3a6835bc446df570557220d4f174cccebccf3d93\S1.jpg,3956F8ED4074E3AB3531A9A821159A65A8A12441E6E5328021D6A09914DD3206,2087,"Synthetic final bytes; EXIF empty"
