evidence_id,file,bytes,sha256,classification,result
R03A3-L001,fail-before-real-writer.log,1447,D3B56B9C8D46011CF0AC58AC315AB333B363A87DA2D360205DE1029E7A7614B4,LOCAL_ONLY_SYNTHETIC,FAIL_BEFORE_EXPECTED
R03A3-L002,fail-before-overlay-parser-error.log,1442,F03400BD26B37305E9CA8C19F582C1A33F200CFF72C62F450B0F7BD99A97E761,LOCAL_ONLY_NON_PRODUCT_EVIDENCE,OVERLAY_PREPARATION_ERROR
R03A3-L003,source-pass-final-contract.log,2843,15F210CDC93A747D640A28FE4C84A31BF72FA4B62E8F583E35C42B1979C3CDB6,LOCAL_ONLY_SYNTHETIC,58_OF_58_PASS
R03A3-L004,source-pass-final-wrapper.log,38,B2869F0A99B68FF126F5EFC2022C547B776BCA6130DEB633DF24D646B90E7353,LOCAL_ONLY_SYNTHETIC,15_OF_15_PASS
R03A3-L005,source-pass-final-qdrant-validator.log,38,7E1FC4AF852C07F3585908344FA7DDFDD775F8C39104BEBB5641FD4B0D3808EA,LOCAL_ONLY_SYNTHETIC,PASS
R03A3-L006,source-pass-final-backup-storage.log,36,213064B9B4D5B4BB721F237F654782C15C64E3A1C3438C9AF148E622F3702890,LOCAL_ONLY_SYNTHETIC,PASS
R03A3-L007,source-pass-final-backup-scheduler.log,29,36C9CB09CECEDA7E83723A98C8A86418E2B2BA4CED3C2E22F7D716A239266D62,LOCAL_ONLY_SYNTHETIC,PASS
R03A3-L008,runtime-inventory-20260908T210559Z.json,9301,C82D9703576AC57AAF3F8048383F29BBF603D883AAF3D167C5A312C8F9F8F763,LOCAL_ONLY_SANITIZED,RUNTIME_CAPTURED
R03A3-L009,capture-20260908T210559Z.log,715,D3B318BB6D65624E23F842E169184E4DDC8E967B4107C5E925C0BB417382BFAC,LOCAL_ONLY_SANITIZED,CAPTURE_COMPLETE
R03A3-L010,validate-only-20260908T210559Z.log,1232,E43FFC8FA42FA84E09C212E180B95A4DE71219219D4FF7F742AC34074293B92C,LOCAL_ONLY_SANITIZED,VALID
R03A3-L011,kb-roundtrip-summary.safe.json,732,E8C91724FCFF627BCDEE28655857A92154EB7E6E0AE32B8B4F1098F9B5E36FE4,LOCAL_ONLY_SANITIZED,10_OF_10_PASS
R03A3-L012,kb-roundtrip-inventory.local.json,3366,3B5DD6D70119E125527B8448A756A8441CAD04CDCCE8A2FEFA8F452C39E687D3,LOCAL_ONLY_PROTECTED_COMPANY_METADATA,10_OF_10_PASS
R03A3-L013,validate-old-v2-after-a3.log,1139,8C9038246FDC1B8553FBE80073C1D3B1F2EA582C64CF02F979276BD9894222B0,LOCAL_ONLY_SANITIZED,HISTORICAL_V2_VALID_NARROW_SCOPE
