item_id,scope,local_path,source_identity,format,entry_count,size_bytes,sha256,verification,status,sensitivity,git_policy,notes
P2-PRES-001,original_worktree_manifest,C:\ai-lab-core-staging\recovery\R00_20260907T202413Z\R00_WORKTREE_MANIFEST.csv,original_HEAD_72950657ac79b50d0afe72753632ba4cde810b95,csv,203,61952,994A17D7BCD7BA8120F73BC462AC6A2313A47F04D91F6639D2863A98A3FD6999,"203/203 present; hash mismatch 0; size mismatch 0; staged 0",REUSED_VERIFIED,LOCAL_ONLY_INDEX,REFERENCE_ONLY,"Existing R00 evidence reused; not duplicated"
P2-PRES-002,original_source_preservation,C:\ai-lab-core-staging\recovery\R00_20260907T202413Z\R00_SOURCE_PRESERVATION_MANIFEST.csv,original_HEAD_72950657ac79b50d0afe72753632ba4cde810b95,csv,9,3779,0442A171B031A30A7FC835CF39E1D864BCA0BFBAA987E82FE761D8A6B75A9A50,"9/9 existing preservation artifacts present and hash-matched",REUSED_VERIFIED,LOCAL_ONLY_INDEX,REFERENCE_ONLY,"Includes binary-capable tracked patch and exact allowed untracked copies"
P2-PRES-003,original_tracked_patch,C:\ai-lab-core-staging\recovery\R00_20260907T202413Z\source-preservation\tracked-local-changes.patch,original_HEAD_72950657ac79b50d0afe72753632ba4cde810b95,binary_patch,6,14160,0CA24C4255CE43F7753E53F322324A9D042707319D17F7BED30B537910A1DF63,existing_reverse_apply_PASS,REUSED_VERIFIED,LOCAL_ONLY_SOURCE,DO_NOT_COMMIT,"Original worktree index and files were not modified"
P2-PRES-004,visual_audit_history,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\preservation\visual-v2-audit.bundle,audit_HEAD_c2e931c8b72a55f4260b546e9eba84d67040e1f4,git_bundle,13,506522548,6010890462798DD24C59F2158E7662C1691FF4F7B657F5C0B98BFAC837C8ECD8,"git bundle verify PASS; fetched HEAD equals source HEAD",PRESERVED_VERIFIED,LOCAL_ONLY_SOURCE,DO_NOT_COMMIT,"Against selected candidate: 4 patch-equivalent commits and 9 unique commits preserved for review"
P2-PRES-005,visual_audit_dirty,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\preservation\visual-v2-audit-dirty.patch,audit_HEAD_c2e931c8b72a55f4260b546e9eba84d67040e1f4,binary_patch,5,94134,6242BD7B22D95EA8CFEBF105509BD130913A606218E7EC110FFAF929E1C3CFF2,reverse_apply_check_PASS,PRESERVED_VERIFIED,LOCAL_ONLY_SOURCE,DO_NOT_COMMIT,"Four exact dirty/untracked byte copies plus one deletion are indexed separately"
P2-PRES-006,visual_audit_dirty_index,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\preservation\visual-v2-audit-dirty-manifest.csv,audit_HEAD_c2e931c8b72a55f4260b546e9eba84d67040e1f4,csv,5,1690,26B205D9CF6F8530374C869F69CA1E5EC0D005C2DF46B9DD9E32E86D2A6F0D79,"4/4 copied bytes hash-match; deletion recorded",PRESERVED_VERIFIED,LOCAL_ONLY_INDEX,DO_NOT_COMMIT,"Source worktree and refs unchanged"
P2-PRES-007,external_vision_worker_sources,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\preservation\external-vision-worker-source-manifest.csv,C:\ChatGPT-Vision-Worker\worker,csv,7,1713,7F28C9C426DDD0FEE6380A8075D24F80850856083DDA08152DBAEA4BFA9F5E53,"7/7 allowed files copied byte-identically; candidate comparison 0 identical / 3 different / 4 absent",PRESERVED_HOLD_REVIEW,LOCAL_ONLY_SOURCE,DO_NOT_COMMIT,"No profile cookies session keys inputs outputs logs or runtime state were read or copied"
P2-PRES-008,candidate_source_archive,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\candidate\source-2e69622bc6a0b4888427f8ae5be119377aed26d9.zip,commit_2e69622bc6a0b4888427f8ae5be119377aed26d9,zip,1198,6207605,318A41F24F5B2949A06A24B38BB5D2B599E300734E67F1E91E0F5C59879CC6C3,"safe extraction and 1198-file hash roundtrip; mismatch 0",PRESERVED_VERIFIED,NONSECRET_SOURCE,DO_NOT_COMMIT,"Inert Git snapshot; not a runtime root"
P2-PRES-009,candidate_source_file_manifest,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\candidate\source-file-manifest.csv,commit_2e69622bc6a0b4888427f8ae5be119377aed26d9,csv,1198,153821,72A8B6ACA13208F296F513D5DFCC6D9FE6ECD7411DBB895F3776539CE29DE417,roundtrip_mismatch_0,PRESERVED_VERIFIED,NONSECRET_INDEX,DO_NOT_COMMIT,"Manifest covers relative paths sizes and SHA-256"
P2-PRES-010,web_test_only_archive,C:\ai-lab-core-staging\recovery\R04_D21_SINGLE_ROOT_20260915T033112Z\p2-20260915T212340Z\artifacts\web-test-only-2e69622bc6a0b4888427f8ae5be119377aed26d9.zip,frontend_at_2e69622bc6a0b4888427f8ae5be119377aed26d9,zip,40,20044226,A99FB9E30FD66F815509434BD594050D82F4D5D1B6E45A36DB6DDECC085A4C41,"single debug Web build exit 0; no server or UI",BUILT_TEST_ONLY_NOT_DEPLOYED,LOCAL_ONLY_BINARY,DO_NOT_COMMIT,"API endpoint 127.0.0.1:18004; not a stable or production artifact"
