package_id,name,phase,type,dependencies,goal,done,impact,approval,rollback,exclude,status,primary_requirements,linked_requirements,findings,retirement_ids
R00,Wspólna roadmapa w Git i zabezpieczenie punktu startu,A — Sterowanie i bezpieczna baza,DOC_BOOTSTRAP / VERIFY,,"Udostępnić jedną roadmapę lokalnie i na GitHub, z checkpointem wznowienia; zachować istniejącą pracę oraz odróżnić stan kodu od runtime.","Roadmapa i bezpieczny checkpoint są w lokalnym worktree i na wskazanej gałęzi GitHub. BASELINE_LOCK opisuje źródła, rescue, lokalną pracę, runtime i recovery. Codex kończy READY_FOR_REVIEW; ACCEPTED dopiero po rzeczywistym odbiorze właściciela.","Tylko dokumentacja na allowliście, mała korekta AGENTS, nowe refs/worktree i kontrolowana kopia niesekretnej pracy poza repo. Brak zmian aplikacji/config/DB/modeli/deploymentu.","Uruchomienie promptu R00 v1.1 autoryzuje dokumentacyjny bootstrap oraz checkpoint commit/push wyłącznie na recovery/next-stabil-repair-completion. Nie zatwierdza R01–R24, usuwania roadmap, zmian zakresu ani operacji produkcyjnych/escrow.","Zachować oryginalne drzewo. Błędną opublikowaną dokumentację korygować nowym commitem; bez force push/reset. Usunięcie worktree dopiero po osobnej kontroli własności i lokalnej pracy, nie jako automatyczny rollback.","Naprawy aplikacji, pełny ponowny audyt, adopcja rescue/dirty changes, modyfikacja main/followup/masterplanu, usuwanie starych roadmap, R01–R24, migracje, restarty, modele, queue drain, runtime writes.",ACCEPTED,,M-072;F-030;F-031,FND-014;FND-028;FND-032,
R01,Jedna roadmapa i wycofanie konkurencyjnych instrukcji,A — Sterowanie i bezpieczna baza,DOC_CONSOLIDATION,R00,Usunąć konflikt dokumentów sterujących bez usuwania wymagań i zabezpieczeń.,"W aktywnym sterowaniu są dwa kanoniczne plany i dokładnie jedna roadmapa; małe rejestry CSV są jej załącznikami, nie odrębnymi planami.","Dokumentacja/Git wyłącznie. Brak zmian aplikacji, runtime i danych.","Osobna zgoda na dokładne wycofywane ścieżki, aktualizację nagłówków/odwołań i dokumentacyjny commit/push R01. Zgoda na rejestrację roadmapy w R00 nie jest zgodą na delete ani przyszłe wdrożenia.",Odtworzenie dokładnych wersji dokumentów i odwołań z zatwierdzonego commita; zachowanie audytu.,"Usuwanie blueprinta, raportów, workerów, modeli, migracji lub buildów. Narzucanie nowych wymagań ze starych roadmap.",ACCEPTED,,M-008;M-072;M-073;F-026;F-029,FND-027,RT-011;RT-052;RT-057
R02,Odtwarzalne i izolowane testy,A — Sterowanie i bezpieczna baza,FIX / VERIFY,R00,"Uzyskać wiarygodny wynik testów właściwego commita, nie wynik zależny od kolejności fixture lub brakujących bibliotek.","Zapisany powtarzalny baseline suite, brak niejawnych produkcyjnych zależności i uruchamialne testy naprawianych reguł.",Test code/config i syntetyczne DB. Brak zmian produkcyjnego obrazu i danych.,Zgoda na pakiet źródłowy/testowy i jego oddzielny commit. Brak zgody na deployment.,Revert wyłącznie zmian testów; dokładnie nazwane zasoby syntetyczne usuwane według własności.,"Sztuczne usuwanie testów, przepisywanie całego harnessu, pobieranie nowego modelu, podmienianie production data.",ACCEPTED,M-033,M-031;M-073,FND-019;FND-033;FND-034,
R03,Odtwarzalność i chronione sekrety przed ryzykowną zmianą,A — Sterowanie i bezpieczna baza,VERIFY / COMPLETE_REQUIREMENT,R00;R02,"Przed migracją lub wdrożeniem wykazać możliwość odtworzenia, a nie wyłącznie istnienie pliku backupu.","Zatwierdzony dowód odzyskania oraz punkt odtworzenia dla najbliższej zmiany. W przypadku odmowy escrow odnotowany konkretny blocker odpowiednich wdrożeń, nie zakaz lokalnych poprawek.","Nowe izolowane zasoby i chronione backupy. Brak production restore, purge lub rotacji credentials.",Osobna zgoda operacyjna na restore/escrow i zmianę kolejności historycznego CHUNK23; rotacja nadal wymaga oddzielnej zgody.,Usunąć wyłącznie nazwane izolowane cele po zatwierdzeniu; zachować zweryfikowane kopie. Nigdy nie nadpisywać czynnego systemu.,"Sekrety w dokumentacji, automatyczne włączenie retencji, uznanie verified backup za restore PASS.",WAITING_APPROVAL,M-066;M-067;F-017;F-021;F-026,M-037;F-016,FND-014;FND-025;FND-026,
R04,Jednoznaczny release i wersje wszystkich komponentów,A — Sterowanie i bezpieczna baza,FIX / VERIFY,R00;R02,Testować i uruchamiać ten sam zatwierdzony zestaw bez utraty pracy lokalnej.,RELEASE_ID + compatibility manifest gotowe. Stan source-ready/staged/deployed/accepted jest rozdzielony. Samo przygotowanie nie oznacza promocji rescue.,"Źródła wersjonowania/build/config. Operacyjne przepięcie i restart to oddzielne działania po R03, privacy gate i zgodzie. Aktualny skutek P4/B jest częściowy: pliki i task definitions zostały zmienione, ale zwykły start nie przeszedł nawet pierwszego warm runu.","R04-A1/A3 oraz D-21 P1/P2/DATA_ONLY/guard zachowują wcześniejsze odbiory. P3 CORE_BACKEND_SOURCE_SWITCH_ACCEPTED / LIMITED_RUNTIME_SCOPE pozostaje wykonany i przyjęty; backend 686ac37663ad369f253eb91da4364aa2bd6c16c77b1205cc41d61c68d4d9c854 wykonuje source 0ee0ea50943578e6e552aae23ce1688595ddc262, a readback potwierdził 11/11 w dwóch warstwach i 9/9 false. P4/A source 8756314f51a76091a483cfc9b677a05c7f67f315 i evidence 8a156e0c738699b4bfee01fb98f0d10f01c803ba są owner-accepted jako SOURCE_OFFLINE_AND_IDENTITY_PACKAGE_ACCEPTED / NOT_INSTALLED. Pierwsza jednorazowa Phase B OP_ID R04-D21-P4B-WINDOW-20260918T084652Z pozostawiła wrapper w rollbacku i Host disabled/no-trigger; pięć tasków pozostało na preimage. Jednorazowe resume R04-D21-P4B-RESUME-20260918T112015Z użyło jednego zaakceptowanego UAC i przeszło elevation/input gate, lecz recepta zatrzymała się przed mutacją, ponieważ PowerShell 5.1 rozdzielił argument Go-template dla docker inspect. mutation_started=false; rollback resume nie był potrzebny. Stan instalacji: PARTIAL_SAFE_INACTIVE / NOT_INSTALLED. Transport LOCAL_ONLY recepty SHA256 5F310C64DFB21F55B4403E9A738B80344EB9CEC38536EE4FD2081F6422F1FD67 zachowuje offline 17/17 i 120 asercji oraz jeden wcześniejszy exact read-only Docker inspect PASS. Static exact-recipe preflight potwierdził indeksy 17/17 i 29/29, ale wykazał BASELINE_PATH_BINDING_MISMATCH dla sześciu container records. Następnie LOCAL_ONLY recipe 733AA23F15EF9CC1E8A87F1A1B38EF523464F09160EDACF50300F00957D05B6A i package index ED05FE269F89BE881474CA9B2C00D62589720FD0AE1959547D55A4032B54875C przeszły PowerShell 5.1 offline 14/14 i 119 asercji: 29/29 ról, 6/6 baseline, real Docker/Task/HTTP/UAC/mutations 0. Kolejny review pełnej ścieżki potwierdził na preimage RV-P4B-FULL-01–04. Następna owner-authorized kontynuacja odtworzyła RV-P4B-FULL-03B/02B/02C i przygotowała nieaktywną receptę F6D3A8CC7AA57ED50244D773076700BCBE5771609762947B230E344C5C883F0E z indeksem FDF9FE7AF55A8285FB51506E3CBFA5368F366353748DC68BBCCBBC37164A977F oraz review ZIP D2B3263BE6ECB20E139CF63E7559C0E53605CE8827183989E37979247965DA1C. Finalne testy offline: input 14/14 przypadków i 110 asercji, orchestration 15/15 przypadków i 96 asercji, owned workers 437/437, real Docker/Task/CIM/TCP/HTTP/UAC/mutations 0. W tamtym punkcie payload/manifest nie były zainstalowane, warm runs wynosiły 0/2, a repository/global manifest pozostawał NOT_APPROVED_FOR_START. Następna operacja wymaga niezależnego review recepty F6D3A8CC7AA57ED50244D773076700BCBE5771609762947B230E344C5C883F0E, indeksu FDF9FE7AF55A8285FB51506E3CBFA5368F366353748DC68BBCCBBC37164A977F, ZIP D2B3263BE6ECB20E139CF63E7559C0E53605CE8827183989E37979247965DA1C oraz osobnej decyzji. Supervisor INTENTIONALLY_STOPPED. Qdrant/VHD/profile relocation, oddzielny UI, backup schedule proof, live startup/logon/reboot/rollback, P4-B/P5 oraz pełne R04/Windows/Android/W-02/AI pozostają nieodebrane. Właściciel przyjął następnie te dokładne bajty wyłącznie jako EXACT_ROLLBACK_SAFE_RECIPE_ACCEPTED / SOURCE_AND_OFFLINE_SCOPE / NOT_INSTALLED. Dla external resume R04-D21-P4B-EXACT-RESUME-20260919T094244Z pakiet 6/6, ZIP 7/7, wejścia 29/29 i VerifyInputsOnly exit 0 są zgodne, lecz fresh preflight zakończył się PRE_UAC_BLOCKED: pierwszy odczyt taska nie został utrwalony z powodu limitu długości ścieżki dowodowej i nie był ponawiany. UAC, Install, Docker/HTTP readback, warm runs i host mutations pozostały 0; replacement preflight wymaga nowej decyzji. Zastępcza kampania R04-D21-P4B-PF01-20260919T104840Z zaliczyła local I/O i path budget 90/220, utrwaliła sześć XML-i tasków oraz potwierdziła pięć exact preimage i statyczną zgodność Host. Collector zakończył się exit 1 na HOST_TRIGGER_CIMCLASS_PROPERTY_NOT_FOUND; dynamiczny Host/LastRun nie został utrwalony ani ponowiony, a Docker/HTTP/UAC/Install/warm/mutations pozostały 0. Status REPLACEMENT_READ_ONLY_PREFLIGHT_PARTIAL / NO_UAC / NOT_INSTALLED. Kolejna owner-authorized collector-only kontynuacja poprawiła projekcję XML i przeszła offline 13 przypadków/61 asercji; utrwaliła Task State 6/6, host/resources/HTTP oraz safe Docker records dla 6/6 kontenerów. TaskInfo 0/6 przez błąd mapowania, bez retry, więc LastRunTime/LastTaskResult pozostają NOT_VERIFIED. Final projection 6D18493AFACBF19BFDA5D0607910572101AC5D27A36665AAE596727F8B159B74; index A3FB97D5F46713753CBEC8A509D518D2DBFAE96EFAB7ABE44B8624F266FF52F8. Status PREFLIGHT_EVIDENCE_PARTIAL / TASK_INFO_MAPPING_ERROR_NO_REREAD / NO_UAC / NOT_INSTALLED; kolejny live read lub operacja wymaga nowej decyzji. Następna dozwolona kontynuacja naprawiła exact TaskInfo boundary: PS5.1 16/126, live TaskInfo 6/6. Pochodna short-output F65DF7232ADC3DBFE6B35FC08D255D385748ED17CC3078CACB93501FB9BF8C9A, package index 36623A0384F400D10D9FF0714FE7ED67B0090FC872C19751ED195D2E52C8D49E i ZIP 407A872A9B0504F35F2141992E3F84132198175A0146B5B0D1925B0F878D7272 przeszły input 14/110, orchestration 15/96, 437/437 workers, path/I/O 206/220, VerifyInputsOnly 29/29+6 i ZIP 17/17. Bieżący drift potwierdził task/container/health i Windows/disk gates; Docker/WSL pool oraz swap-used pozostają UNKNOWN. Status przygotowania wynosił SHORT_OUTPUT_DERIVATIVE_READY_FOR_REVIEW / NO_UAC / NOT_INSTALLED; out/run01 był nieobecny. Właściciel następnie odebrał ograniczoną zmianę short-output i jednorazowo zatwierdził R04-D21-P4B-RESUME-SHORT-OUTPUT-20260919T202300Z. Jeden RunAs/UAC został użyty. Instalator zweryfikował i zainstalował exact launcher/runtime/helper oraz manifest, zastosował docelowe definicje tasków i uruchomił Host raz. Host zakończył się LastTaskResult 22 przed startem Private Gateway. Jeden SAFE_INACTIVE zakończył się PARTIAL_UNKNOWN, ponieważ Public Gateway pozostał Running; destrukcyjny rollback plików i helper restore nie zostały wykonane. Stan po operacji: Host Disabled/no-trigger, warm runs 0/2, Private starts 0, brak Host logon triggera, Supervisor INTENTIONALLY_STOPPED. Sześć kontenerów pozostało running z niezmienionymi exact ID/image/mount/port/network i RestartCount=0; PostgreSQL healthy. Repository draft pozostaje NOT_APPROVED, a exact installed manifest E66F22A7EC433183940FC3014E1B9F8C1DBE535375EC2D6580B958B55586010C jest przypiętym APPROVED_FOR_START wejściem operacji. Status: P4B PARTIAL_AFTER_FAILURE / HOST_TASK_FAILED_22 / SAFE_INACTIVE_PARTIAL_UNKNOWN / PAYLOAD_AND_MANIFEST_INSTALLED / READY_FOR_OWNER_REVIEW. Szczegół wyniku launchera nie został utrwalony; retry, drugi UAC i niezależny rollback nie są autoryzowane. Późniejsza owner-authorized kampania read-only nie ponowiła Host i wykazała: pure manifest validation PASS; exact Docker adapter inspect failure na opcjonalnym State.Health; zapisany selector zwraca pięć backend-labelled kontenerów, a rzeczywista faza planu kończy CONTAINER_IDENTITY_AMBIGUOUS match_count=5 przy startach=0. Status HOST22_DIAGNOSED_READ_ONLY / SOURCE_FIX_REQUIRED / NO_RETRY_AUTHORIZED; następny krok to osobny narrow SOURCE/OFFLINE fix i review. Owner-authorized Host 22 source/offline continuation produced commit ed961d6980ebebe2e4d351319e2aa909437bc1ec. Safe optional Health projection and exact-ID-first pinned selection passed 37 focused assertions plus regressions 53/51/44/16 with production boundary calls 0. Candidate hashes CF98B7BEB2710265509FBA0662857207FC10FCE38E95731004B8A54EFF378E55 and 85A9589461AAB91643C9B351F4F5A0872AFDB2777056E96ABE299C3F734D85FB remain READY_FOR_REVIEW / NOT_DEPLOYED; Host retry and further mutations remain unauthorized. Follow-up source b4269ffa7bacc95b4d1441bb196e572a34a4ec43 closes OBS-01/02/03 for native-envelope completeness, one shared stage deadline and exact pinned running state; final offline assertions 51/57/51/44/40, production boundary calls 0, review ZIP 4EB0706A365C2D46AD7F63047AE2DB253D1841C7E372A45F4F1947CA212ADBD9. Final source 8195e5cf8dacd1976ccd9f71a1f78175c3513acc closes OBS-01B/02B and executable inactive-candidate bindings; final offline assertions 70/57/51/44/41, candidate plus P4 59, extracted ZIP binding 18 and production boundary calls 0. Review ZIP D6F48B9ED1178C6362A5BF8A8C79E6B08B72D569D5C0F880FA29990939C27AEA remains LOCAL_ONLY. It is READY_FOR_REVIEW / NOT_DEPLOYED and does not authorize Host retry or installed-file update. The owner subsequently accepted that exact Host22 source/offline package as NOT_DEPLOYED. Result-capture source 727eb860c75d3dd7b010b86de3eeaa3d656c69cf and inactive narrow-update package index 33BD4FEDA762B0CA247D5840530353FFD5B253F9F333BFCB5EB65EC18BA220E8 / ZIP 881C804FF6747ECDEF912F7F7B379921B04CA767BCA43A455C0A7E3BBF7CD3C6 are READY_FOR_REVIEW / NO_OPERATIONAL_CHANGES; no UAC/update/retry/rollback is authorized. The consolidated NUP-01/02/03 derivative uses source d3435afcfb89d02d91f2db3d1eb55be17fd790bd, recipe 0B051C2F54125E25ED6DDEDEDC63A33A738604B8AAECE713B13C473FA83FB9EF, index 67B32FB8981F765A251DDC081D4FD9473B224A2BFFEE7E96CA01C1C57A288222 and ZIP C34B9460E1E4528932F722D93BF1E57E2F1906CE8F3179E0834CACA633957A1F. Review 2/2 is completed: NUP-01/02 remain PASS in reviewed scope and the owner authorized the sole remaining K1 NUP-03 completion. Fail-before proved first-warm SUCCESS while Host remained Running. LOCAL_ONLY recipe DC1295C3A82943C938521C404CD1F23302C4252FFDF25DB189A602BA14BC4A0A requires complete evidence plus a fresh exact owned-idle Host within the same deadline. Final PS 5.1 result is 70 assertions/20 scenarios, Private 1->0, container/Supervisor/five dependency-task writes 0, production boundaries 0; index B3B50FD3AE711EF817640B6E7B89A8A30B003A36C8708760C3720F9E84607919 and ZIP 3ED49CB38370F8044DE76E596957CF07BAB92912ABB5BAFA37B6C3818BEFA09D. Status NUP03_HOST_COMPLETION_SOURCE_FIX_READY_FOR_VERIFICATION / OFFLINE_PASS / NOT_DEPLOYED. The owner then accepted exact recipe DC1295C3A82943C938521C404CD1F23302C4252FFDF25DB189A602BA14BC4A0A, index B3B50FD3AE711EF817640B6E7B89A8A30B003A36C8708760C3720F9E84607919 and ZIP 3ED49CB38370F8044DE76E596957CF07BAB92912ABB5BAFA37B6C3818BEFA09D only as SOURCE/OFFLINE / NOT_DEPLOYED. Stage A integrity passed 33/33, ZIP 34/34 and payload 8/8. Its single VerifyOnly returned exit 22 TASK_DEPENDENCY_DRIFT for Docker Desktop with mutation false. The one read-only projection found backend mount, three host-service and Host semantic/trigger mismatches, then stopped before HTTP on a local formatter error without retry. Status P4B_STAGE_A_BLOCKED / NO_STAGE_B_AUTHORIZATION_REQUESTED. Owner-approved cleanup preserved 5484 B / 8ABFDCA99E3677A0096AAADCDE46376763FFF7B8B967920B097665EB352F56A5 LOCAL_ONLY and removed only the accidental untracked checkpoint. Preserved-evidence reconciliation proves backend mount and Host mismatches are representation-only; current Docker Desktop hash and current per-field data for three host-service tasks remain unresolved. Formatter status/read_status is resolved without retry; HTTP remains NOT_RUN. The owner-authorized P4B-STAGEA-GATE follow-up completed exactly one non-elevated four-task read-only capture: 4/4 observed and 4/4 normalized matches, task writes/starts 0. Narrow source normalization covers only Windows absolute bind separators, XML EOL/final separator plus real trigger child count, and exact task action identity resolved against the approved CWD/root. Source e8ad5e27bc8515e6536b5fc8696608b3d9c6e7de and candidate launcher/runtime B4143A6934E6723E3293A6D5A4806A4F01D34CB53037C6417B16830BD4EC7892 / 959768E297BCB93FF1AF3D7EE5A174313F9DC053707EDE8C45D3A84D024B0732 are SOURCE_READY_FOR_REVIEW / NOT_DEPLOYED; review ZIP F9850E9BC3CBA376ABE509955E83831AE986536C76134322713BF005E4619A3B. HTTP, fresh six-container preflight and live VerifyOnly are NOT_RUN; Stage B remains BLOCKED / NOT_AUTHORIZED. Next is owner review of this exact diff and four saved definitions before any separate decision on one later VerifyOnly. The Host identity continuity K1 was reproduced in full offline orchestration: pinned comparable passed preflight while raw-only fresh operations blocked. LOCAL_ONLY recipe FD8DB2C5491E7A8835CC01734A8A902D67F606F29A4436A68A16096A44CBBCFE with index 0BC434D97847836CD54C2D847B23795614F684633013DFDCDA1F76AF7C966CDD and ZIP F0BE2DB31081458890873325DE8448C1D65F8ED57CF20C5D724F66A64FB88298 preserves semantic and idle guards and passes 91 assertions/26 scenarios with production boundaries 0. Status HOST_IDENTITY_CONTINUITY_SOURCE_AND_OFFLINE_ACCEPTED / NOT_DEPLOYED. D-23 review stays 2/2. The one separately authorized VerifyOnly exited 1 after 958 ms in local package validation because Windows PowerShell 5.1 -NoProfile did not recognize Get-FileHash. No result/out, Task Scheduler reads/writes/starts or mutations; no retry and the authorization is consumed. The owner-authorized minimal SOURCE/OFFLINE file SHA256 derivative now uses built-in .NET SHA256 over a read-only stream. Recipe CA6A5DCC4CD472332D32178FD3AEB659A9828FE9A746B02E3FCD188893387157, package index C2F6A77CC09869E26473BA85B1E21F4A1784E359D423A79A08C6E3086D12B8AA and review ZIP 0DE0E072A6030F00159CAFD32CEE73636AC2033B7AFE73F42BD4838BB73414F8 passed focused PS 5.1 35 assertions/15 scenarios, 4/4 child processes, 8/8 unchanged payload bindings and 87/87 ZIP roundtrip with production boundaries 0. The owner accepted exact Get-P4BSha256 bytes as SOURCE_AND_OFFLINE_ACCEPTED / NOT_DEPLOYED. The newly authorized VerifyOnly was initially not executed because its exact review ZIP 223585 B / 0DE0E072A6030F00159CAFD32CEE73636AC2033B7AFE73F42BD4838BB73414F8 was absent while recipe/package index/review index and 8/8 bindings matched; that preflight block remains historical. The owner then supplied the original byte-identical ZIP, which was restored without overwrite; the complete gate passed 4/4 top-level artifacts and 8/8 bindings. Exactly one ordinary-token VerifyOnly exited 0 after 55349.381 ms with VERIFIED_NO_MUTATION, mutation/pending false, empty changed roles/warm runs, journal NOT_OPENED and rollback NOT_NEEDED. Bounded reads covered five dependency tasks plus Host; task writes/starts and all mutations were 0. Status EXACT_REVIEW_ZIP_RESTORED_FROM_OWNER_SUPPLIED_IDENTICAL_BYTES / P4B_VERIFYONLY_PASS / CURRENT_READ_ONLY_TASK_AND_FILE_EVIDENCE. HTTP and fresh six-container preflight remain NOT_RUN; Stage B remains not authorized and owner review is next, with no K2/K3 search or automatic retry. Owner accepted the exact successful VerifyOnly only as P4B_VERIFYONLY_TASK_AND_FILE_EVIDENCE_ACCEPTED / READ_ONLY_SCOPE. One bounded preflight confirmed package 4/4 + 8/8, 6/6 pinned containers, PostgreSQL healthy, HTTP 200/200/200/404/404 and Windows/disk gates. Docker/WSL pool and current swap use remain UNKNOWN. Host-service observations ran under PowerShell 7.6.5 rather than required Windows PowerShell 5.1, so that layer is NOT_VALIDATED and Stage B remains BLOCKED / NOT_AUTHORIZED. The only proposed next decision is one PS5.1 host-services-only replacement read without repeating completed gates.",Poprzedni podpisany lub hashowany zestaw wraz z konfiguracją i schema compatibility; zachowane stare ścieżki do czasu odbioru.,"Usuwanie live Web lub zewnętrznego workera, podwyższanie minimum dla wymuszenia pozornego sukcesu, reset lokalnego repo.",IN_PROGRESS,M-003;M-004;M-065;M-072;F-023;F-034,M-015;M-057;M-064;F-022;F-024;F-031,FND-004;FND-006;FND-013;FND-014;FND-015;FND-016;FND-023;FND-028,
R05,Działające Visual z kontrolą prywatności pikseli,B — Poprawność istniejącego systemu,FIX,R02;R04,"Zachować Temporary Chat dla Visual, nie wysyłając niedopuszczonej tożsamości lub danych ukrytych w rastrze.","Privacy gate ma dowód zgodności faktycznych bajtów i obustronne testy: blokuje niedopuszczone, przepuszcza dopuszczone. P0 blokuje eksport/promocję Visual, nie każdą lokalną poprawkę.",Domyślnie bez migracji i zmian danych firmy; ewentualna zmiana kontraktu klasyfikacji wymaga projektu.,"D-20: właściciel zaakceptował R05-A4 dla funkcji z f3cbe58bed0de34cfd39a57d481abb2c61c2f4ac, końcowego czteroplikowego source 04ab5e58cf86896ffd946cabffde13367d343f53 i evidence 8620871711321a42e62291e52865b5a668a4955d jako SOURCE_AND_API_WIDGET_TESTS_ACCEPTED / NOT_DEPLOYED. A1/A2/A3 zachowują wcześniejsze wąskie odbiory. ASGI/CORS jest testem protokołu, a wcześniejsze Flutter wyniki nie są nowym runem. Public Gateway odpowiada i /control* pozostaje 404; Supervisor jest INTENTIONALLY_STOPPED. Operator Web runtime, Temporary Chat mode, remote upload, locally_redacted generation i external end-to-end pozostają NOT_VERIFIED; cały R05 nadal IN_PROGRESS.",Bezpieczne wyłączenie wyłącznie nowej gałęzi eksportu; nie wracać do niekontrolowanego V1. Wyniki i historia zachowane.,"Permanentne wyłączenie Visual jako końcowa naprawa, API zamiast Temporary Chat, usuwanie oryginałów, zniesienie restricted.",IN_PROGRESS,,M-002;M-028;M-057;M-058;M-061;F-019;F-022,FND-004;FND-005;FND-013;FND-036,
R06,"Trwały czat, publikacja i zakres Visual",B — Poprawność istniejącego systemu,FIX / VERIFY,R02;R04,Włączyć już istniejące poprawki do właściwego kandydata i sprawdzić granice współbieżności.,Poprawki działają na docelowym kandydacie z izolowaną integracją; po R16 także w aplikacji. Nie przenosić statusu rescue PASS do produkcji bez deploy evidence.,Backend i testy; bez migracji według obecnego diffu. Potwierdzić faktycznie używane tabele.,"Source commit; operacyjne wdrożenie osobno, po zgodności R03/R04 i właściwych bramkach dla eksportu.",Revert kandydata lub poprzedni kompatybilny release; brak usuwania rozmów i historycznych wyników.,"Anulowanie runu przez delete/background, przenoszenie blokady DB na czas pracy modelu, nowe usługi czatu.",PLANNED,M-012;M-047;M-048;M-049;M-059,M-005;M-031;M-057;M-062;M-070;F-025,FND-004;FND-006,
R07,Naturalne polecenia i pytania mieszane,B — Poprawność istniejącego systemu,FIX,R02,"Pytanie użytkownika wykonuje właściwe zadanie, a nie opisuje możliwości systemu.",Reprezentatywny zestaw parafraz daje zgodny plan/intencję i prawidłowe zachowanie uprawnień.,"Kod routingu i testy, bez produkcyjnych zapisów i migracji.",Zgoda source; deploy oddzielnie.,Revert małego commita i zachowanie testu regresji do ponownej naprawy.,"Zmiana modelu, wymaganie od użytkownika specjalnych komend, omijanie autoryzacji.",PLANNED,M-046,F-025,FND-007;FND-008,
R08,Retrieval i składanie kompletnego kontekstu,B — Poprawność istniejącego systemu,FIX,R02;R07,"Właściwe źródła trafiają do modelu i walidatora, zamiast znikać po późniejszym przycięciu listy.","Spójny ślad retrieved → selected → actually provided → claimed. Sporna teza ma rozstrzygnięcie na właściwym commicie, nie etykietę z innej gałęzi.","Istniejące retrieval/context/validator i testy. Brak masowej indeksacji, zmiany modelu i migracji bez potrzeby.",Zgoda source; Qdrant/live test tylko osobno na wydzielonym namespace.,Revert zmian retrieval; testowe kolekcje według własności; nie kasować produkcyjnego indeksu.,"Nieograniczony kontekst, wyłączenie źródeł lub walidacji, ogólne „Visual zawsze usuwa KB” bez wskazania ścieżki.",PLANNED,M-039;M-040;M-042,M-041;M-047;M-060;F-018;F-020;F-025,FND-008;FND-009;FND-010;FND-011,
R09,"Qwen 9B, starsze wejścia AI i zasoby",B — Poprawność istniejącego systemu,FIX / VERIFY,R02;R04;R07;R08,"Zachować 9B jako wspólny reasoner i sprawdzić jego działanie, bez dalszego konkursu modeli.",Local-only użyteczny scenariusz i zasoby odebrane na właściwym zestawie; modele historyczne zachowane do końcowego consumer audit.,Adaptery/model ownership/testy; live model calls po zgodzie. Bez pobierania/usuwania modeli i strojenia systemu operacyjnego.,Source i oddzielne okno live 9B/restart test. Produkcyjny restart wymaga R03.,Poprzednie kompatybilne adaptery i konfiguracja; brak model delete.,"Nowy model, wielomodelowy pipeline, wyłączanie embedding, migracja Linux, zwiększanie RAM/context bez projektu.",PLANNED,M-036;M-043;M-050;M-063,M-002;M-031;M-045;M-048;M-062;M-069;M-070;M-072;F-025;F-032,FND-002;FND-023;FND-024;FND-029,
