retirement_id,path,tracking,role,documented_origin,known_consumers,disposition,risk_if_left,risk_if_removed,confidence,preserve_before_action,removal_or_retirement_conditions,protective_test,recovery,primary_package,package_dependencies,execution_authorization,roadmap_note
RT-001,ai-module-audit.txt,tracked origin/main,historyczny raport lub wynik operacyjny,wcześniejszy audyt/naprawa,brak automatycznego konsumenta potwierdzonego; wartość dowodowa,ARCHIVE_EVIDENCE,stare liczby/instrukcje mogą być uznane za stan bieżący,utrata pochodzenia i dowodu operacji,MEDIUM,"zachować datę, commit, zakres i bezpieczne agregaty",po zatwierdzeniu nowej roadmapy i kontroli PII,rg referencji + privacy scan,git show 483f9bf8:ai-module-audit.txt,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-002,backend.zip,tracked origin/main,historyczne archiwum backendu,nieudokumentowany snapshot,brak runtime importu; możliwy ręczny recovery,ARCHIVE_EVIDENCE,duplikat źródła zwiększa ryzyko pracy na złej wersji,utrata nieprzeniesionego historycznego snapshotu,MEDIUM,ustalić commit/pochodzenie i zawartość bez sekretów,po identyfikacji i świadomej decyzji archiwizacji poza aktywnym drzewem,porównanie listy/hashy z Git; restore drill archiwum,Git dla samego ZIP; zawartość przez zachowaną kopię,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-003,backend/app/services/document_extraction_service.py.before_rfc822,untracked original worktree,kopia przed zmianą RFC822,lokalny snapshot naprawy,brak znalezionych importów; nie jest w Git,REMOVE_CANDIDATE,ryzyko przypadkowego odczytu/edycji niewłaściwej wersji,nieodwracalna utrata lokalnego dowodu,MEDIUM,osobna kopia z SHA-256 albo świadoma rezygnacja właściciela,po porównaniu z historią Git i akceptacji właściciela,rg dynamicznych ścieżek + import smoke,niezależne zabezpieczenie poza repo z manifestem SHA-256,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,Brak automatycznej zgody na usunięcie. Zachowaj warunki wejściowego rejestru; decyzja per path.
RT-004,backend/app/services/document_metadata_service.py.before_rfc822,untracked original worktree,kopia przed zmianą RFC822,lokalny snapshot naprawy,brak znalezionych importów; nie jest w Git,REMOVE_CANDIDATE,ryzyko przypadkowego użycia jako źródła,nieodwracalna utrata lokalnego dowodu,MEDIUM,osobna kopia z SHA-256 albo zgoda właściciela,po porównaniu z historią Git i akceptacji właściciela,rg dynamicznych ścieżek + import smoke,niezależne zabezpieczenie poza repo z manifestem SHA-256,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,Brak automatycznej zgody na usunięcie. Zachowaj warunki wejściowego rejestru; decyzja per path.
RT-005,C:\ai-lab-core-staging\document-pipeline-runner\run-after-codex-exit.ps1,outside Git,wycofany runner kolejki dokumentów,doraźna automatyzacja preflight/live queue,jawnie wycofany; nie jest konsumentem runtime,REMOVE_CANDIDATE,może zostać uruchomiony omyłkowo i zmienić flagę/recreate backend,utrata śladów wcześniejszych prób,HIGH,"zachować result/timeline/hashy jako dowód, potwierdzić brak harmonogramu",po zakończeniu bieżącego audytu i osobnej zgodzie właściciela,scheduled tasks/process search + hash evidence,niezależne archiwum poza ścieżką wykonawczą,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,Brak automatycznej zgody na usunięcie. Zachowaj warunki wejściowego rejestru; decyzja per path.
RT-006,C:\ai-lab-core\frontend\build\web,ignored original worktree,faktycznie publikowany build Web,artefakt release poza Git,public gateway serwuje ten katalog,KEEP_RUNTIME,wersja +41 różni się od source/manifest; brak hermetycznej publikacji,usunięcie wyłączy Web,HIGH,"manifest wersji, SHA artefaktów, odtwarzalny build",usuwać dopiero po atomowym wdrożeniu nowego builda i rollbacku,gateway smoke + version contract + rollback rehearsal,zachowany zatwierdzony build lub odtwarzalny release artifact,R24,R04;R15;R16;R23;odebrane zastępstwo;rollback,NOT_AUTHORIZED,"CHRONIONY runtime do czasu kontrolowanego zastąpienia. Nie usuwać pliku/buildu tylko dlatego, że różni się od Git."
RT-007,C:\ChatGPT-Vision-Worker\worker\vision-job.js,outside Git runtime,faktycznie uruchamiany worker Vision V1,zewnętrzny Windows worker,Supervisor wskazuje tę ścieżkę,KEEP_RUNTIME,drift względem repo wymaga jawnego deploymentu/hash pinning,usunięcie przerwie produkcyjny Vision V1,HIGH,zachować do czasu kontrolowanego zastąpienia i odbioru,nie usuwać; najpierw ujednolicić wersję i launcher,"read-only Preview, source hash, end-to-end test",przywrócenie dokładnego zatwierdzonego pliku i konfiguracji Supervisor,R24,R04;R15;R16;R23;odebrane zastępstwo;rollback,NOT_AUTHORIZED,"CHRONIONY runtime do czasu kontrolowanego zastąpienia. Nie usuwać pliku/buildu tylko dlatego, że różni się od Git."
RT-008,C:\Ollama-Vision-Pilot,outside Git,zewnętrzny runtime/kopia pilota Vision V1,historyczny pilot Visual,możliwe launchery/manualne procedury; niepełne mapowanie,HOLD_UNCERTAIN,zajmuje ok. 1.46 GB i może sugerować równoległy pipeline,może być jedyną kopią narzędzi lub dowodu,LOW,pełny consumer/scheduler/hash audit,dopiero po zamknięciu Visual i potwierdzeniu braku konsumentów,task scheduler + process command lines + restore rehearsal,niezależna kopia z manifestem; Git jeśli śledzona gdzie indziej,R24,R09;R15;R23;ustalenie właściciela i launcherów;niezależna kopia,NOT_AUTHORIZED,NIE USUWAĆ przy niewyjaśnionych zależnościach. Git nie odtworzy tego katalogu.
RT-009,camera-test.txt,tracked origin/main,historyczny raport lub wynik operacyjny,wcześniejszy audyt/naprawa,brak automatycznego konsumenta potwierdzonego; wartość dowodowa,ARCHIVE_EVIDENCE,stare liczby/instrukcje mogą być uznane za stan bieżący,utrata pochodzenia i dowodu operacji,MEDIUM,"zachować datę, commit, zakres i bezpieczne agregaty",po zatwierdzeniu nowej roadmapy i kontroli PII,rg referencji + privacy scan,git show 483f9bf8:camera-test.txt,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-010,candidate-context-test.json,tracked origin/main,jednorazowy wynik/fixture diagnostyczny,historyczny test kontekstu kandydata,brak znanych konsumentów runtime,ARCHIVE_EVIDENCE,może zawierać dane i wyglądać jak aktywny fixture,utrata dowodu regresji,MEDIUM,sprawdzić anonimizację i wyodrębnić syntetyczny test jeżeli unikalny,po privacy review i zastąpieniu testem syntetycznym,rg + skan sekretów/PII + test zastępczy,git show 483f9bf8:candidate-context-test.json,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-011,CODEX_MASTER_EXECUTION.md,tracked origin/main,historyczny plan wykonawczy,starsza egzekucja masterplanu,AGENTS.md wskazuje go jako executable delivery plan,CONSOLIDATE,konflikt z deklaracją Followup jako jedynego planu,utrata sekwencji i kryteriów historycznych,HIGH,przenieść unikalne aktywne decyzje do przyszłej jednej roadmapy; zachować dowód w Git,po zatwierdzeniu nowej roadmapy i aktualizacji AGENTS.md,rg odwołań + przegląd instrukcji agentów,git show 9af4026eeffed2509af943bff1e37b2514bfd5e8:CODEX_MASTER_EXECUTION.md,R01,R00;R01,OWNER_APPROVED_R01_20260907,Wycofano z aktywnego drzewa w R01 po mapowaniu treści; pełne bajty pozostają odtwarzalne z Git. Odbiór właściciela oczekiwany; żadna inna ścieżka nie była autoryzowana.
RT-012,docs/ai-lab-blueprint.md,tracked origin/main,pusty szkic blueprint/roadmap,niedokończona dokumentacja,brak znanych konsumentów,REMOVE_CANDIDATE,myląca sugestia alternatywnego źródła architektury,niskie; może być zakładką do przyszłej dokumentacji,HIGH,potwierdzić brak unikalnych decyzji i odwołań,po zatwierdzeniu nowej roadmapy i rg bez konsumentów,docs link check + rg dokładnej ścieżki,git show 483f9bf8:docs/ai-lab-blueprint.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,Brak automatycznej zgody na usunięcie. Zachowaj warunki wejściowego rejestru; decyzja per path.
RT-013,FINAL_SYSTEM_AUDIT.md,tracked origin/main,historyczny raport lub wynik operacyjny,wcześniejszy audyt/naprawa,brak automatycznego konsumenta potwierdzonego; wartość dowodowa,ARCHIVE_EVIDENCE,stare liczby/instrukcje mogą być uznane za stan bieżący,utrata pochodzenia i dowodu operacji,MEDIUM,"zachować datę, commit, zakres i bezpieczne agregaty",po zatwierdzeniu nowej roadmapy i kontroli PII,rg referencji + privacy scan,git show 483f9bf8:FINAL_SYSTEM_AUDIT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-014,FOLLOWUP_ADMIN_TRASH_RETENTION_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_ADMIN_TRASH_RETENTION_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-015,FOLLOWUP_AI_ASSISTANT_RECONSTRUCTION_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_AI_ASSISTANT_RECONSTRUCTION_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-016,FOLLOWUP_BACKUP_PLANNER_RETENTION_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_BACKUP_PLANNER_RETENTION_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-017,FOLLOWUP_CHUNK01_DOCUMENT_ANOMALY_DIAGNOSIS.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK01_DOCUMENT_ANOMALY_DIAGNOSIS.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-018,FOLLOWUP_CHUNK03_CLIENT_ADDED_DATE_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK03_CLIENT_ADDED_DATE_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-019,FOLLOWUP_CHUNK06_CLIENT_ACTIVITY_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK06_CLIENT_ACTIVITY_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-020,FOLLOWUP_CHUNK07_ADMIN_CHANGE_HISTORY_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK07_ADMIN_CHANGE_HISTORY_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-021,FOLLOWUP_CHUNK08_CANDIDATE_406_MERGE_DIAGNOSIS.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK08_CANDIDATE_406_MERGE_DIAGNOSIS.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-022,FOLLOWUP_CHUNK09_EMAIL_SEND_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK09_EMAIL_SEND_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
