log_id,file,evidence_state,exit_class,bytes,sha256,local_location
R02-L001,001-main-migration.log,superseded,pass,7260,0B0D159ECB432C313F2AAD707128CA8202BD90B126B333FDE1B1912F4D552799,LOCAL_ONLY/raw/001-main-migration.log
R02-L002,002-doc03-before-fix-combined.log,authoritative,pass,16944,473A788C1039953565D0AF08D4D467F216EDB784997B2382752D04AB1D196C38,LOCAL_ONLY/raw/002-doc03-before-fix-combined.log
R02-L003,003-doc03-before-fix-seed.log,authoritative,pass,238,46E918677E8E9A123D07B0D9F0B6CB6FAB9381482D59E0197709EBBD154D4990,LOCAL_ONLY/raw/003-doc03-before-fix-seed.log
R02-L004,004-doc03-before-fix-contaminated.log,authoritative,expected_fail,4715,36934AB4F01A5D815E2ABD2A8C678B909B8FCF67F0EE4D8727E4335F2EAD717B,LOCAL_ONLY/raw/004-doc03-before-fix-contaminated.log
R02-L005,005-test-image-build.log,diagnostic,setup_failure,1685,B0CECE9B1AE5BC9B740E79F7F5FB79DE8FE31CA60F62BDD355E98DDFD7871272,LOCAL_ONLY/raw/005-test-image-build.log
R02-L006,006-test-image-build-pinned-tag.log,superseded,pass,3937,3046BC794C037F011CAC2E85A49C583BBE81C8FEF3D3F762806856F8D54494A5,LOCAL_ONLY/raw/006-test-image-build-pinned-tag.log
R02-L007,007-test-image-identity.log,diagnostic,setup_failure,232,C3946FE3FFEF29580EDADCDE45CC34D874AC81737FE9445ECAAF565FAD6AFC33,LOCAL_ONLY/raw/007-test-image-identity.log
R02-L008,008-test-image-versions.log,superseded,pass,120,F97B36BDDD8E77A632B94E0A8010E29B6EE3AFA708E36AA987ABC7E8611A34BD,LOCAL_ONLY/raw/008-test-image-versions.log
R02-L009,009-main-migration-pinned-env.log,diagnostic,setup_failure,163,30B2883B1E7B4031DD3056BC3292558123257DFE01F60E3EE395C7F571C85B3E,LOCAL_ONLY/raw/009-main-migration-pinned-env.log
R02-L010,010-main-migration-pinned-env.log,diagnostic,setup_failure,3767,6C0861D0D663FA36BECE0638CB3B61FBE0D33285F8357458E86F061DC6C07467,LOCAL_ONLY/raw/010-main-migration-pinned-env.log
R02-L011,011-main-migration-final-env.log,authoritative,pass,7056,FF472A3162A0D43C7B62977EE0FD351BE795C736294E7012F5C3881EB8633DD5,LOCAL_ONLY/raw/011-main-migration-final-env.log
R02-L012,012-doc03-after-fix-alone.log,diagnostic,test_fix_iteration_fail,8795,1D1346D7CD1418E0EE9F2947CE37D4A41ECC413A1D447E83B4A7154D81B1B285,LOCAL_ONLY/raw/012-doc03-after-fix-alone.log
R02-L013,013-doc03-after-fix-alone-pass.log,authoritative,pass,3586,DAAEC8A4CCED28286DF1A22E84D77F7C6195FD236DCF71470CA043F88DD0CD1A,LOCAL_ONLY/raw/013-doc03-after-fix-alone-pass.log
R02-L014,014-doc03-order-a.log,authoritative,pass,16857,C24111CBFA6748643B09DADA7C4064157DB0BBD96CEB9676BBF6556FDCEBC10F,LOCAL_ONLY/raw/014-doc03-order-a.log
R02-L015,015-doc03-order-b-seed-20260908.log,authoritative,pass,16857,858BB7F876B63BC4C0392BE27D7BD29334931F07257A763314BEA458D676517A,LOCAL_ONLY/raw/015-doc03-order-b-seed-20260908.log
R02-L016,016-rescue-migration.log,authoritative,pass,7056,FF472A3162A0D43C7B62977EE0FD351BE795C736294E7012F5C3881EB8633DD5,LOCAL_ONLY/raw/016-rescue-migration.log
R02-L017,017-main-reproductions.log,superseded,pass,4128,46295CDA0EB6F07676BCCFCFBCFAB00C29C21DDC74ED7B5918E776BD4EB5AA62,LOCAL_ONLY/raw/017-main-reproductions.log
R02-L018,018-rescue-reproductions.log,superseded,pass,2838,D2FC8436D0782F4A5B907E72F2DDD46C3330282751676C2EFD115D04CDFBA374,LOCAL_ONLY/raw/018-rescue-reproductions.log
R02-L019,019-main-pytest-only.log,authoritative,pass,36298,A22AD89283780C310D6EA46CEF2F352AECEB034AC6C588B08123E413CF5746C2,LOCAL_ONLY/raw/019-main-pytest-only.log
R02-L020,020-main-assistant-baseline.log,authoritative,pass,6307,A72DB76F57C18D38F0EED933ED9CA6B2A989DBEB69D3F62A56AA19EE7D40608B,LOCAL_ONLY/raw/020-main-assistant-baseline.log
R02-L021,021-main-chat-integration.log,diagnostic,setup_failure,191,82C807F31A994B822DA7CB606DF3799564D9B45A009B9FC5B30F949E60AE5D53,LOCAL_ONLY/raw/021-main-chat-integration.log
R02-L022,022-main-chat-integration.log,authoritative,pass,357,45922C462E64640DD87B0C075F56B8E2F58D929D3A9031E9F067D58BDFF00ED1,LOCAL_ONLY/raw/022-main-chat-integration.log
R02-L023,023-rescue-visual-resource.log,authoritative,pass,8185,D9BA19CD705FDB2F2231EEE17D3C6D2FC37146F88698FD28775E8530E1D64557,LOCAL_ONLY/raw/023-rescue-visual-resource.log
R02-L024,024-rescue-visual-chat-unit.log,diagnostic,harness_layout_fail,6652,D705BBEEA2C10035B63F716230CF6F5C0FC1AF93E620EC529B10868B4886EB31,LOCAL_ONLY/raw/024-rescue-visual-chat-unit.log
R02-L025,025-rescue-visual-chat-unit-full-tree.log,authoritative,pass,5506,CF5CDFECC5B48702C61A5B28C184AFE45883259E920B8303C669E163C347B954,LOCAL_ONLY/raw/025-rescue-visual-chat-unit-full-tree.log
R02-L026,026-rescue-chat-integration.log,authoritative,pass,357,8D381E77FB2C0B28398A16BB8F3F554137EC7C8CAEE7B55331AE249E6A7F7B64,LOCAL_ONLY/raw/026-rescue-chat-integration.log
R02-L027,027-rescue-pytest-only.log,authoritative,pass,1560,AFD8FB3ABC6DF2095DBBAA93206A5B08A96240D0C95EACDBE3A2CD09748DEA40,LOCAL_ONLY/raw/027-rescue-pytest-only.log
R02-L028,028-main-reproductions-final.log,authoritative,pass,1155,6F250996FE6E48473A0127B944AF89C49345D0D2496619CD00CAEBC80BDE2D69,LOCAL_ONLY/raw/028-main-reproductions-final.log
R02-L029,029-rescue-reproductions-final.log,authoritative,pass,1245,CA939FDE509BCB4CE8E21FAC8EE7DA7DAB24186880C71134C87073FF3A20B2C0,LOCAL_ONLY/raw/029-rescue-reproductions-final.log
R02-L030,030-main-snapshot-doc03-overlay.log,authoritative,pass,3586,AF1C48A7B0F8B604A7BD20486DF8D7B8FE884050972160BC35B7A8299407C5EA,LOCAL_ONLY/raw/030-main-snapshot-doc03-overlay.log
R02-L032,032-isolation-final.log,authoritative,pass,629,893B84DB8DF9A53EE116A6DCBC1D38EE0ED8E92323D95DE63B45533F63CD2350,LOCAL_ONLY/raw/032-isolation-final.log
R02-L033,033-r02-python-compile-pass.log,authoritative,pass,20,338241608E5A724DFC4EC627429E17F3DA0166E9998ADEA668FB9A7635A9DBB7,LOCAL_ONLY/raw/033-r02-python-compile-pass.log
R02-L034,034-rescue-doc03-overlay.log,authoritative,pass,3586,A185EC4162534C4F07324C0916CA9C32D18D1C0D44FE231BF51B0034CFB479B1,LOCAL_ONLY/raw/034-rescue-doc03-overlay.log
R02-L035,035-rescue-combined-regression.log,authoritative,pass,6283,85565A4355A85FEB3A238885085022008925FF925CA60C2D106E49D9892CE486,LOCAL_ONLY/raw/035-rescue-combined-regression.log
R02-L036,036-synthetic-effects.log,authoritative,pass,282,5840F1D3D6C61079436200C384811CAE910F0F6C693B9132981EF3420330958F,LOCAL_ONLY/raw/036-synthetic-effects.log
R02-L037,037-test-image-final-build.log,authoritative,pass,2195,42D7443E1E7BBFC7C404D15C7D9923BE15E9AABD1196CB9218A9E401DE9DF421,LOCAL_ONLY/raw/037-test-image-final-build.log
R02-L038,038-final-test-image-versions.log,authoritative,pass,84,1950A53648FB195C43E987313AD7CDC38404903D059118E102D274BBC9BFC753,LOCAL_ONLY/raw/038-final-test-image-versions.log
R02-L039,039-final-image-main-doc03.log,authoritative,pass,102,E9730170A032F3F1C9820142810140587963E95F4A99B539F1C5A18B25EC7822,LOCAL_ONLY/raw/039-final-image-main-doc03.log
R02-L040,040-final-image-rescue-reproductions.log,authoritative,pass,1245,0468B4C50741FCF023667897E2A33CDE68FF6CEA5567E5FF39A783B089D50C16,LOCAL_ONLY/raw/040-final-image-rescue-reproductions.log
R02-L041,041-main-scope-tempchat.log,authoritative,pass,865,6464B381605926CBEBF2AB539186547FF5EE851B8261D8EBB5D79CD632BC22A8,LOCAL_ONLY/raw/041-main-scope-tempchat.log
R02-L042,042-rescue-scope-tempchat.log,authoritative,pass,865,6464B381605926CBEBF2AB539186547FF5EE851B8261D8EBB5D79CD632BC22A8,LOCAL_ONLY/raw/042-rescue-scope-tempchat.log
