path,uncompressed_bytes,crc32,sha256_computed_on_received_archive,provenance
AUDIT_REPORT.md,22242,4A089D1C,0A1E3AA08670240776972954F8962C0E56CBB28A38905BB717642100EB0D4EA8,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
REQUIREMENTS_MATRIX.csv,74461,642019DF,8FEB95ED3272CF7BE673FB037AD46573609F1D9F54EDF42DD280D15C4254E8EC,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
FINDINGS_REGISTER.csv,15465,22062568,25AE414B9682D8738217AEB95EAFA3D0778A5EFFE709038C294EBD6AEC0D9AA8,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
FILE_INVENTORY.csv,468290,01819495,CC7500DD4663B1C9B45F1C52525D0D06D3547441EEEE47BB07F368060DCC9DEB,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
RETIREMENT_CANDIDATES.csv,37000,5B9AC538,A6D839E934F90748C784A9EADEF8EB81CD8C35BD3D309D33963A7E1AB682031C,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
ROADMAP_RETIREMENT_MAP.md,6919,FFDB2E0B,E67F0DD408C136E3BBCEC4DF2917CB0E95E6FF0283EF5FD5ECEC85BD0AD8D5D9,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
RUNTIME_MANIFEST.json,11652,F1FCA938,D331397BD1D61DCFD77410703E1817F2966367497E79A0ABD2CBA01C8043CCFD,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
TEST_EVIDENCE.md,9598,6088F9C9,151695F72AC89BB87349F2D4233D870870623F3641909884C37BC88B03B48BC3,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
REPAIR_INPUT.md,14366,94E3A8B7,B3DE1D8E3BA7988BCE24676577E009FDC426159F1FDF7557BE0B1F75A8A714F3,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
COVERAGE_AND_UNKNOWNS.md,9071,1AFC7434,A705BCDA0196A3E55B9395705664E7E0BCC4BE6E3FEF6F60207A795D46A3C6BA,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
INITIAL_DIRTY_UNTRACKED_MANIFEST.csv,37390,61127E00,DE9169BF8AB7D7AFDD97208A5F04B42F186AA06617306D8DDBA8174584F5B00C,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
FINAL_DIRTY_UNTRACKED_MANIFEST.csv,37390,90AEB48C,47BB6B4C5E72C50CEFD60D7BC5ACB3628EA91F7A9B7F1DE8B6D0727ADEAC55EB,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
WORKTREE_DRIFT.csv,77,501771B5,3D55DE1D12F2FEAC8D7E66F010A6CC50533685D9125D44FC3D8680AC187ADDAA,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
reproductions/README.md,903,DF2B0088,5FB5A1811FCE40E69D693D369CFF537B50B868BF14358971B00EE35F761B6279,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
reproductions/backend/test/fixtures/unified_assistant_current_android_requests.json,1062,1C5D1B40,93727E91407CE1F5E5286DF08A90B9EC224539D6C064052908B0477D4917C53C,Wygenerowano podczas niniejszej analizy otrzymanego ZIP; nie jest brakującym manifestem historycznym Codexa.
