finding_id,requirement_ids,severity,description,production_or_product_impact,confidence,evidence_reproduction,status,root_cause,minimal_change_direction,closure_criterion,primary_package,supporting_packages,roadmap_status,reconciliation_note
FND-001,M-013;M-014;M-051;M-052;M-053;M-071,P1,Brak ofert i umów jako encji/API/UI,Pełny proces handlowy z masterplanu nie istnieje,HIGH,Brak modeli/routerów/features po pełnym rg; REQUIREMENTS_MATRIX.csv,REPRODUCED,Zakres zakończono przed etapem ofert/umów,Jeden zaprojektowany pakiet danych+API+UI z wersjami i approval,E2E draft oferty->akceptacja->draft umowy z audytem,R18,R19;R23,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-002,M-024;M-025;M-030;M-070;F-025,P1,"Automatyczna Document Intelligence jest wdrożona w źródle, ale wyłączona",Nowe dokumenty stoją bez semantycznego artefaktu,HIGH,DOCUMENT_PREPARATION_ENABLED=false; 15 queued; 0 artifacts,REPRODUCED,Operacyjna flaga wyłączona po nieukończonym odbiorze zasobów,"Najpierw mały, owner-gated live acceptance istniejącego dispatchera","Kolejka terminalna, artifacts current, brak Vision V1 i naruszeń RAM",R10,R09;R14,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-003,M-021;F-010;F-011,P1,Local preparation nie uruchamia rekonsyliacji Gmail attachment,Załącznik może pozostać niepowiązany mimo lokalnego przetworzenia,HIGH,vision_auto_eligible=false na create; reconcile tylko po Vision; 225 unlinked,CODE_SUPPORTED_NOT_REPRODUCED,Call-site zależy od V1 Vision eligibility,Wywołać istniejący bounded reconcile po lokalnym terminalu,Fixture lokalnego PDF/TXT kończy preparation i dostaje drugi matching pass bez Vision,R12,R10,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-004,M-057;M-058;M-059;M-060;F-025,P1,"Main nie tworzy brakującego Visual; rescue ma Visual V2, ale nie jest wdrożony",Pytania wymagające obrazu kończą review mimo dostępnego materiału,HIGH,main dispatcher reuse-only; rescue 5cd8f86 5 commitów ahead,REPRODUCED,"ASST-01 zamknął wyłącznie reuse, pełny transport pozostał poza main",Dokończyć minimalny rescue po privacy gate i promować mały diff,Syntetyczny E2E material->Temporary Chat->validation->local synthesis,R15,R04;R05;R06;R10,PLANNED_NOT_CLOSED,"Rozdzielić SOURCE_FIXED_RESCUE, INTEGRATION_PASS, DEPLOYED i RUNTIME_ACCEPTED. Nie przepisywać poprawki już istniejącej."
FND-005,M-057;M-061,P0,Rescue klasyfikuje obraz do eksportu głównie metadanymi bez dowodu redakcji PII w pikselach,Wdrożenie kandydata mogłoby wysłać dane klienta mimo etykiety sanitizable,HIGH,rescue visual_v2_service _restricted i image normalization,CODE_SUPPORTED_NOT_REPRODUCED,Brak lokalnego detektora/redaktora tekstu/PII na rastrze lub polityki restricted_never_external,Dodać minimalny fail-closed pixel privacy decision przed spool,Test obrazu z PII blokuje eksport; sanitized hash odpowiada faktycznie zredagowanym bajtom,R05,R15,PLANNED_NOT_CLOSED,P0 dotyczy bramki promocji/eksportu rescue; audyt nie zaobserwował wycieku produkcyjnego. Wymagany także test pozytywnej użyteczności.
FND-006,M-012;M-049,P1,Wyścig soft-delete rozmowy i publikacji terminalnej w main,Usunięty chat może dostać późną wiadomość lub activity update,HIGH,main plain Session.get; rescue with_for_update/populate_existing i 2-session tests,REPRODUCED,Brak świeżego zablokowanego odczytu w transakcji publikacji,Promować zaakceptowaną dwusesyjną poprawkę z rescue,Deletion-wins=0 messages; publication-wins<=1; run result zachowany,R06,R04;R16,PLANNED_NOT_CLOSED,"Rozdzielić SOURCE_FIXED_RESCUE, INTEGRATION_PASS, DEPLOYED i RUNTIME_ACCEPTED. Nie przepisywać poprawki już istniejącej."
FND-007,M-046,P1,Naturalne „Czy możesz przeanalizować ten dokument?” jest SYSTEM_META,Wybrany dokument nie jest analizowany mimo intencji użytkownika,HIGH,reprodukcja rzeczywistego _query_mode,REPRODUCED,Reguła capability phrase ma pierwszeństwo przed selected-document execution,Doprecyzować jedną regułę routingową i dodać parafrazy,"Pytanie przy selected document tworzy document plan, bez target pozostaje capability",R07,R16,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-008,M-041;M-042;M-054,P1,Mixed-intent „podaj adres klienta” wyłącza KB,Odpowiedź techniczna traci wiedzę metodologiczną,HIGH,"_should_retrieve_kb: technical=true, technical+address=false",REPRODUCED,Routing traktuje lookup CRM jako dominujący zamiast addytywny,Rozdzielić sub-intents i zachować wymagane KB,Test techniczny+adres ma client source i KB source w final context,R07,R08;R15,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-009,M-039;F-020,P2,Lexical KB ogranicza globalne wyniki przed filtrem item_id,Poprawny wynik wskazanego materiału może zniknąć,HIGH,knowledge_base_retrieval_service.search code order,CODE_SUPPORTED_NOT_REPRODUCED,Filter znajduje się po lexical.search(limit),Przenieść item filter do zapytania albo pobrać bounded oversample,Synthetic corpus z celem poza global top-N zwraca cel,R08,R13,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-010,M-041;M-055,P1,Filtr internal handle odrzuca treści S235/S355,Zwykłe gatunki stali mogą zostać uznane za wyciek ID,HIGH,rzeczywisty regex i reprodukcja S235/S355=true,REPRODUCED,"Zbyt szeroki wzorzec \b[STV]\d{1,3}\b",Zawęzić do rzeczywistych formatów handle z kontekstem,"S235/S355 przechodzą, rzeczywiste Sxx internal nadal blokowane",R08,R17,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-011,M-040;M-041,P2,Wyjątek retrieval jest mapowany na pusty wynik,Awaria infrastruktury wygląda jak brak wiedzy,HIGH,szeroki except w _collect,CODE_SUPPORTED_NOT_REPRODUCED,Brak odrębnego statusu retrieval error,Zachować bounded error state i komunikat użytkownika,Fault injection odróżnia ERROR od EMPTY/NO_MATCH,R08,R13;R15,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-012,M-041;M-054,P1,Deterministyczny spis tematów może zostać zaakceptowany jako analiza,Odpowiedź może brzmieć merytorycznie bez wywnioskowania treści,HIGH,_deterministic_kb_overview_payload early accepted_local,CODE_SUPPORTED_NOT_REPRODUCED,Heurystyczne keyword families są traktowane jak wynik semantyczny,Ograniczyć do jawnego „spisu tematów” lub wymagać syntezy,Pytanie analityczne nie kończy się samym overview,R13,R15,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-013,M-057;M-062,P1,Uruchamiany V1 Vision worker różni się od pliku w Git,Testowany kod nie jest identyczny z wykonywanym,HIGH,repo SHA A059...; external worker SHA 54CC...,REPRODUCED,Supervisor używa kopii C:\ChatGPT-Vision-Worker,Wersjonować/deployować worker atomowo albo jawnie pinować hash,Runtime manifest zgadza się z zatwierdzonym blobem,R04,R05;R15,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-014,M-004;M-064;M-065,P1,"Backend jest z clean main, lecz gateway/live Web z pierwotnego brudnego repo",Runtime nie ma jednego źródła tożsamości,HIGH,mount /app clean; node command lines i public root original,REPRODUCED,Częściowa migracja deployment root,Przenieść wszystkie runtime entrypoints do jednego immutable deploy root,Manifest każdej ścieżki runtime równy zatwierdzonemu release,R04,R00;R03;R16,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-015,M-065;F-034,P1,Wersje są niespójne i backend ujawnia development/debug,Klient może podjąć błędną decyzję aktualizacji; myląca diagnostyka,HIGH,stable +29; live Web +41; pubspec +29; /version 1.0.0 debug true,REPRODUCED,Niezależne źródła wersji bez jednego release identity,Ujednolicić jeden additive version contract bez łamania starych klientów,"Stable, Web, source, backend zgodne; debug false publicznie",R04,R16;R22,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-016,M-064;F-024;F-035,P1,Android runtime niezweryfikowany,Mobilny odbiór biznesowy nie jest bieżący,HIGH,Pixel_8 istnieje; adb devices empty; 341/341 source tests,UNVERIFIED,Emulator nie był uruchomiony i nie było bezpiecznego test backend scope,Oddzielny emulator acceptance bez reinstall/erase,Istniejący APK przechodzi krytyczne ścieżki na Pixel_8 bez realnych wysyłek,R16,R04;R15,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-017,F-009;F-011,P2,Mailbox->DB coverage nie jest dowodliwe z bezpiecznego interfejsu,"Nie wiadomo, czy wszystkie wiadomości z okna są w DB",MEDIUM,Provider audit bez wyniku; DB ma 4306 źródeł,UNVERIFIED,Brak stabilnego bounded read-only mailbox enumeratora,Dodać/udokumentować wyłącznie odczytowy licznik ID,Porównanie ID bez body/label mutations i z retry bound,R12,,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-018,F-011,P1,4262 GmailSource są historyczne bez Matching V2,Nowy matcher nie objął większości historii,HIGH,"44 V2, 4262 unversioned, 159 unmatched",REPRODUCED,Brak zatwierdzonego bounded history re-evaluation,"Owner-gated dry-run tylko metadata, bez automatycznego relink",Raport certain/ambiguous/unresolved i konflikty przed apply,R12,R14;R24,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-019,M-023;F-033,P1,Document 8903 nadal zawiera invalid JSON surrogate,Niektóre operatory JSON rzucają błąd i blokują zapytanie,HIGH,read-only operator ->> zwrócił Unicode low surrogate error; safe hashes zachowane,REPRODUCED,Historyczny zapis ominął recurrence guard,Wykonać istniejący owner-gated repair projection/apply po backupie,"Pre/post hash, dokładnie 1 row, JSON operators działają, no semantic drift",R11,R02;R10,PLANNED_NOT_CLOSED,"Zanim apply: dokładny preimage hash, backup i osobna zgoda na 1 rekord. Możliwy dzisiejszy stan już naprawiony."
